chUserId	chUserName	chGroupId	BusinessUnit
EUdmoPool 	Pool-Demo                     	SALES_EURO	Netherlands (EU)
EUfrpoolcl	Pool-France SVC Closed        	SALES_FR  	France (FR)
EUfrpoolop	Pool-France SVC Open          	SALES_FR  	France (FR)
EUpolclo  	Pool-Service Closed           	SALES_EURO	Netherlands (EU)
Italy-Svc 	Pool-Service-Spain            	SalesSpain	Netherlands (EU)
POOL_30DAY	Pool 30 Day Callbacks         	SERVICE   	Headquarters (HQ)
POOL_ACCT 	Accounting Pool               	ACCOUNTING	Headquarters (HQ)
POOL_ASIA 	Pool - Asia                   	SALES_ASIA	Headquarters (HQ)
POOL_AUSSY	Pool - Australia New Zealand  	SALES_AU  	Australia (AU)
Pool_AUVIS	Pool - AU Visual Transfer     	SALES_AU  	Australia (AU)
POOL_C_CO 	Pool - Canada Closed Orders   	SALES_CAN 	Verathon Medical Canada (SBM)
POOL_C_ED 	Pool - Canada - Demo          	SALES_CAN 	Verathon Medical Canada (SBM)
Pool_C_EV 	Pool - Canada - Evals         	SALES_CAN 	Verathon Medical Canada (SBM)
POOL_C_F  	Pool - Canada Fallout         	SALES_CAN 	Verathon Medical Canada (SBM)
Pool_C_RA 	Pool - RA for Canada          	SALES_CAN 	Verathon Medical Canada (SBM)
POOL_CAMPS	Pool - Campaigns              	SALES_IN  	Headquarters (HQ)
POOL_CLOSE	Pool - Closed Orders Int'l    	SALES_INT 	Headquarters (HQ)
Pool_CR   	Pool - Contract Review        	SERVICE   	Headquarters (HQ)
POOL_DEMO 	Pool Demo                     	SERVICE   	Headquarters (HQ)
Pool_DEX  	Pool - DEX Service Repair     	SUPPORT   	Headquarters (HQ)
POOL_DIST 	Pool - Distributors           	SALES     	Headquarters (HQ)
Pool_EU_cl	Pool-Sales EU Closed          	SALES_EURO	Netherlands (EU)
POOL_Europ	Pool-Sales EU Open            	SALES_EURO	Netherlands (EU)
POOL_EVAL 	Pool - Eval Units             	SERVICE   	Headquarters (HQ)
POOL_FALLO	Pool - Fallout Int'l          	SALES_INT 	Headquarters (HQ)
POOL_FI   	Pool - Future Interest        	SALES_OUT 	Headquarters (HQ)
POOL_FO   	Pool - Fallout                	SALES_OUT 	Headquarters (HQ)
Pool_FRRtn	Pool - FR Return HQ           	SALES_FR  	France (FR)
Pool_FRSvc	Pool - FR Service Open        	SALES_FR  	France (FR)
