chCountryCode	chRegionCode	chRegionName
AR  	AND 	Andina                        
AR  	CNT 	Centro                        
AR  	LTRL	Litoral                       
AR  	NRTE	Norte                         
AR  	PTGA	Patagonia                     
AT  	BLND	Burgenland                    
AT  	KARN	Karnten                       
AT  	NIED	NiederOsterreich              
AT  	OBER	OberOsterreich                
AT  	OSTT	Osttirol                      
AT  	SLZB	Salzburg                      
AT  	STEI	Steiermark                    
AT  	TRL 	Tirol                         
AT  	VNNA	Vienna                        
AT  	VRLB	Vorarlberg                    
AU  	ACT 	Capital Territory             
AU  	NSW 	New South Wales               
AU  	NT  	Northern Territory            
AU  	QLD 	Queensland                    
AU  	SA  	South Australia               
AU  	TAS 	Tasmania                      
AU  	VIC 	Victoria                      
AU  	WA  	Western Australia             
BE  	ANTW	Antwerp                       
BE  	BRAB	Brabant                       
BE  	EFLN	East Flanders                 
BE  	HNUT	Hainaut                       
BE  	LIGE	Liege                         
BE  	LMBR	Limburg                       
BE  	LXMB	Luxembourg                    
BE  	NMR 	Namur                         
BE  	WFLN	West Flanders                 
BG  	BRGS	Burgas                        
BG  	KHSK	Khaskovo                      
BG  	LVCH	Lovech                        
BG  	MKHL	Mikhailovgrad                 
BG  	PLOV	Plovdiv                       
BO  	BENI	Beni                          
BO  	CCHB	Cochabamba                    
BO  	CHQS	Chuquisaca                    
BO  	LPZ 	La Paz                        
BO  	ORRO	Oruro                         
BO  	PNDO	Pando                         
BO  	PTOS	Potosi                        
BO  	SCRZ	Santa Cruz                    
BO  	TRJA	Tarija                        
BR  	AC  	Acre                          
BR  	AL  	Alagoas                       
BR  	AM  	Amazonas                      
BR  	AP  	Amapa                         
BR  	BA  	Bahia                         
BR  	CE  	Ceara                         
BR  	DF  	Distrito Federal              
BR  	ES  	Espirito Santo                
BR  	GO  	Goias                         
BR  	MA  	Maranhao                      
BR  	MG  	Minas Gerais                  
BR  	MS  	Mato Gross do Sul             
BR  	MT  	Mato Grosso                   
BR  	PA  	Para                          
BR  	PB  	Paraiba                       
BR  	PE  	Pernambuco                    
BR  	PI  	Piaui                         
BR  	PR  	Parana                        
BR  	RJ  	Rio de Janeiro                
BR  	RN  	Rio Grande do Norte           
BR  	RO  	Rondonia                      
BR  	RR  	Roraima                       
BR  	RS  	Rio Grande do Sul             
BR  	SC  	Santa Catarina                
BR  	SE  	Sergipe                       
BR  	SP  	Sao Paulo                     
BR  	TO  	Tocantins                     
CA  	AB  	Alberta                       
